certificate_no,company,company_link,country,product_designation,certificate_type,software_version,protocol_version,date_of_registration,certificate_url,product_type
OCA.0201.0037.CSMS,Vattenfall InCharge,https://openchargealliance.org/participants/vattenfall/,Netherlands,Incharge portal,Core + C + D + I,20241002-2,OCPP 2.0.1,2025-04-08,https://openchargealliance.org/wp-content/uploads/2025/04/Certificate_OCA.0201.0037.CSMS_Vattenfall.pdf,Charging Station Management System
OCA.0016.1010.CSMS,VEV PLATFORM SERVICES FRANCE,https://openchargealliance.org/participants/vev-platform-services-france/,France,VEV-IQ,Full + Security,V1.7.76,OCPP 1.6,2025-03-27,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0016.1010.CSMS_VEV.pdf,Charging Station Management System
OCA.0016.1219.CSMS,Voltra Energy Inc.,https://openchargealliance.org/participants/voltra-energy/,USA,Voltra Console - CSMS,Core + S + C,v2.0,OCPP 1.6,2026-04-13,https://openchargealliance.org/wp-content/uploads/2026/04/Certificate_OCA.0016.1219.CSMS_Voltra.pdf,Charging Station Management System
OCA.0016.0609.CSMS,"WELLBIOTECEVC Co., Ltd.",,Republic of Korea,evspeed CSMS,Full,1.6,OCPP 1.6,2024-01-22,https://openchargealliance.org/wp-content/uploads/2024/02/Certificate_OCA.0016.0609.CSMS_WELLBIOTECEVC.pdf,Charging Station Management System
OCA.0016.0188.CSMS,Wevo Energy,https://openchargealliance.org/participants/wevo-energy/,Israel,Wevo Energy Platform,Full,1.0.1,OCPP 1.6,2022-09-15,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0188.CSMS_WevoEnergy.pdf,Charging Station Management System
OCA.0016.0189.CSMS,Wevo Energy,https://openchargealliance.org/participants/wevo-energy/,Israel,Wevo Energy Platform,Security,1.0.1,OCPP 1.6,2022-09-15,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0189.CSMS_WevoEnergy.pdf,Charging Station Management System
OCA.0201.0034.CSMS,Wevo Energy,https://openchargealliance.org/participants/wevo-energy/,Israel,Wevo Energy Platform,Core,OCPP2 1.0.0,OCPP 2.0.1,2024-05-15,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0201.0034.CSMS_Wevo-Energy.pdf,Charging Station Management System
OCA.0016.1205.CSMS,"Wizit Energy CO., LTD.",,Republic of Korea,EVAS 2.0,Core + S + C,1.0.2,OCPP 1.6,2026-02-25,https://openchargealliance.org/wp-content/uploads/2026/03/Certificate_OCA.0016.1205.CSMS_WIZIT.pdf,Charging Station Management System
OCA.0016.0737.CSMS,"WONIK PNE Co., Ltd. (Formerly PNE Systems)",https://openchargealliance.org/participants/pne-systems-inc/,Republic of Korea,PNE CSMS,Full,1.0,OCPP 1.6,2024-04-16,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0737.CSMS_PNE.pdf,Charging Station Management System
OCA.0016.0738.CSMS,"WONIK PNE Co., Ltd. (Formerly PNE Systems)",https://openchargealliance.org/participants/pne-systems-inc/,Republic of Korea,PNE CSMS,Security,1.0,OCPP 1.6,2024-04-16,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0738.CSMS_PNE.pdf,Charging Station Management System
OCA.0016.0244.CSMS,"Woojin Electric Machinery Co., Ltd.",,Republic of Korea,WJ-CSMS,Full,1.0,OCPP 1.6,2022-08-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0244.CSMS_WOOJIN-Electric-Machinery-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0245.CSMS,"Woojin Electric Machinery Co., Ltd.",,Republic of Korea,WJ-CSMS,Security,1.0,OCPP 1.6,2022-08-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0245.CSMS_WOOJIN-Electric-Machinery-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0803.CSMS,"WOOJIN Electric Machinery Co., Ltd.",,Republic of Korea,WJ-CSMS,Full,WJ-LCSMS 2.0,OCPP 1.6,2024-06-10,https://openchargealliance.org/wp-content/uploads/2024/07/Certificate_OCA.0016.0803.CSMS_WOOJIN.pdf,Charging Station Management System
OCA.0016.0804.CSMS,"WOOJIN Electric Machinery Co., Ltd.",,Republic of Korea,WJ-CSMS,Security,WJ-LCSMS 2.0,OCPP 1.6,2024-06-10,https://openchargealliance.org/wp-content/uploads/2024/07/Certificate_OCA.0016.0804.CSMS_WOOJIN.pdf,Charging Station Management System
OCA.0016.0984.CSMS,"YWMobile Co., Ltd",,Republic of Korea,Star-T CSMS,Full,1.0.0,OCPP 1.6,2025-01-22,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.0984.CSMS_YWMobile.pdf,Charging Station Management System
